"path","depth","size_bytes","size_mb","file_count","last_modified","classification","active_readers","proposed_action","rationale"
"analysis_ready",1,10987072147,10478.09,3277,"2026-09-03T17:53:44","canonical",31,"KEEP","Single output root for all current pipeline writes."
"MMMSociability",1,837064129,798.29,15010,"2026-08-27T17:03:36","canonical",20,"KEEP","Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"statistics",1,546880192,521.55,1251,"2026-05-20T10:43:06","legacy",0,"ARCHIVE","Pre-pipeline statistical outputs from the archived LME workflow."
"cookiehab",1,134099104,127.89,58,"2026-06-30T15:17:17","canonical",5,"KEEP","Separate cookiehab experiment; active via run_cookiehab_preprocessing_and_metrics.R."
"publication_ready",1,87552760,83.5,11,"2026-08-28T19:26:27","legacy",0,"REVIEW","Older hand-assembled publication staging. Superseded by Stage 16 and the release builder."
".old",1,80674447,76.94,187,"2025-06-16T17:30:53","legacy",0,"ARCHIVE","Explicitly superseded tree."
"lme_sis_activity",1,35653418,34,286,"2026-04-27T15:12:49","legacy",0,"ARCHIVE","Legacy LME activity outputs."
"Sleep",1,2960852,2.82,131,"2024-09-13T16:12:52","legacy",0,"ARCHIVE","2024 sleep analysis, unrelated to the current pipeline."
"analysis_ready/06_behavioral_dynamics",2,7236851591,6901.6,1645,"2026-09-03T16:39:02","canonical",13,"KEEP","Stages 02 and 04-08 plus Stage 15 proteomics outputs. Largest tree at 6.7 GB; not migrated."
"analysis_ready/03_derived_metrics",2,3155528366,3009.35,52,"2026-08-28T19:26:30","canonical",20,"KEEP","Stage 01 all_behavior_metrics.csv at every bin level. Upstream of everything; 2.9 GB."
"MMMSociability/statistics",2,391575912,373.44,1504,"2026-05-05T17:12:36","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"statistics/gamm_new",2,234760867,223.89,523,"2026-05-20T10:43:06","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"analysis_ready/12_systems_neuroscience_summary",2,203559841,194.13,647,"2026-09-03T17:53:44","audit",6,"KEEP","Stage 14 outputs plus the first-night canonical analysis and all HMM/inactive-QC audit tables. Directory number does not match the stage number."
"MMMSociability/new_structure",2,200666227,191.37,11319,"2026-06-22T14:39:21","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/_quarantine_legacy_s09",2,178816226,170.53,402,"2026-09-03T17:40:58","quarantine",0,"QUARANTINE","Stale Stage 09 trees: 113 animals not 111, zero-padded non-canonical IDs, both phases. QUARANTINE_MANIFEST.csv records every violation. Must never be resolved."
"cookiehab/analysis_ready",2,130434433,124.39,53,"2026-06-30T15:17:17","canonical",,"KEEP","Inherited from parent tree: Separate cookiehab experiment; active via run_cookiehab_preprocessing_and_metrics.R."
"publication_ready/tables",2,87118868,83.08,6,"2026-08-28T19:26:27","legacy",,"REVIEW","Inherited from parent tree: Older hand-assembled publication staging. Superseded by Stage 16 and the release builder."
"MMMSociability/plots",2,83540380,79.67,1418,"2026-06-22T12:21:26","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"statistics/Correlation_Analysis",2,73082628,69.7,19,"2026-05-04T15:43:42","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"analysis_ready/14_nextgen_behavioral_phenotyping",2,64916413,61.91,91,"2026-06-22T12:30:11","canonical",2,"KEEP","Produced by Analysis/_supporting/14_nextgen_behavioral_phenotyping.R but read by active Stages 10 and 14. Archived location, live dependency."
"statistics/AR1_sensitivity",2,59682529,56.92,165,"2026-05-04T15:52:32","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"MMMSociability/tables",2,59121918,56.38,629,"2026-01-09T10:36:36","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/pipeline",2,58155139,55.46,117,"2026-08-28T18:02:12","canonical",31,"RELEASE_SOURCE","Canonical migrated layout. Stages 03 and 09 - exactly the two stages carrying manuscript claims."
"statistics/Movement",2,55899957,53.31,159,"2026-05-04T15:45:42","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"statistics/Proximity",2,51844620,49.44,157,"2026-05-04T15:48:18","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"MMMSociability/raw_data",2,51642419,49.25,38,"2024-11-27T16:10:43","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"statistics/ActivityIndex",2,49918780,47.61,156,"2026-05-04T15:51:21","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"MMMSociability/preprocessed_data",2,41159869,39.25,25,"2026-08-27T17:03:36","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/13_nonlinear_systems_dynamics",2,36809992,35.1,73,"2026-05-19T16:17:03","canonical",3,"KEEP","Produced by an _archive script but read by active Stages 10 and 14. Do not delete the producer."
"lme_sis_activity/plots",2,27126503,25.87,153,"2026-04-27T15:12:49","legacy",,"ARCHIVE","Inherited from parent tree: Legacy LME activity outputs."
"statistics/analyses_",2,21496527,20.5,56,"2026-05-04T15:53:49","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"analysis_ready/18_raw_movement_publication_trajectory",2,20881627,19.91,57,"2026-05-19T16:26:51","legacy",0,"ARCHIVE","No active reader. Superseded by Stage 03."
"lme_sis_activity/models",2,7883196,7.52,12,"2026-04-27T15:12:37","legacy",,"ARCHIVE","Inherited from parent tree: Legacy LME activity outputs."
"analysis_ready/15_behavioral_adaptation_kinetics",2,7455762,7.11,29,"2026-09-03T15:53:26","canonical",4,"KEEP","Stage 11 outputs. Directory number does not match the stage number."
"MMMSociability/processed_data",2,6826541,6.51,6,"2026-04-23T19:21:14","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/04_model_outputs",2,6577525,6.27,6,"2026-08-28T19:26:29","legacy",2,"REVIEW","Older model outputs; low active reader count."
".old/Activity",2,6222191,5.93,173,"2025-06-16T17:30:53","legacy",,"ARCHIVE","Inherited from parent tree: Explicitly superseded tree."
"analysis_ready/16_sleep_like_inactivity_metrics",2,6093276,5.81,29,"2026-09-03T15:53:34","canonical",4,"KEEP","Stage 12 outputs. Directory number does not match the stage number."
"analysis_ready/17_ethological_phase_organization",2,4995361,4.76,35,"2026-05-22T14:13:07","canonical",4,"KEEP","Stage 13 outputs. Directory number does not match the stage number."
"cookiehab/preprocessed_data",2,3645554,3.48,1,"2026-06-30T15:11:50","canonical",,"KEEP","Inherited from parent tree: Separate cookiehab experiment; active via run_cookiehab_preprocessing_and_metrics.R."
"analysis_ready/03_primary_raw_movement_phase_stats",2,2939286,2.8,32,"2026-08-11T13:25:59","legacy",4,"ARCHIVE","Pre-migration Stage 03 tree. Superseded by pipeline/03_movement_phase_stats/. Retained as the documented legacy fallback."
"Sleep/CC1toCC4",2,1302557,1.24,43,"2024-09-11T14:26:58","legacy",,"ARCHIVE","Inherited from parent tree: 2024 sleep analysis, unrelated to the current pipeline."
"MMMSociability/raw_tracking_qc_rfid_loss",2,1215338,1.16,11,"2026-05-18T10:56:25","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/00_qc_tracking_integrity",2,1152201,1.1,8,"2026-05-22T13:39:09","canonical",4,"RELEASE_SOURCE","Stage 00 QC; two tables ship in the release bundle."
"MMMSociability/lme",2,995254,0.95,49,"2025-10-21T17:18:48","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
"analysis_ready/18c_raw_movement_broad_phase_stats_corrected",2,848924,0.81,22,"2026-05-20T15:21:07","legacy",0,"ARCHIVE","No active reader. Superseded by Stage 03. Holds a third copy of the Fig18c panels."
"lme_sis_activity/tables",2,552105,0.53,54,"2026-04-27T15:12:48","legacy",,"ARCHIVE","Inherited from parent tree: Legacy LME activity outputs."
"analysis_ready/manuscript",2,455475,0.43,9,"2026-09-03T17:35:29","manuscript",17,"RELEASE_SOURCE","Stage 16 manuscript package. The recommended entry point; 16/16 validation PASS."
"analysis_ready/16_manuscript_behavior_report",2,439390,0.42,5,"2026-08-11T17:14:11","legacy",2,"ARCHIVE","Pre-migration Stage 16 location. Superseded by analysis_ready/manuscript/behavior/."
"analysis_ready/05_figures",2,433892,0.41,5,"2026-08-28T19:25:45","legacy",2,"REVIEW","Older figure staging; superseded by per-stage figures/."
"publication_ready/figures",2,433892,0.41,5,"2026-08-28T19:25:46","legacy",,"REVIEW","Inherited from parent tree: Older hand-assembled publication staging. Superseded by Stage 16 and the release builder."
"Sleep/CC2",2,417912,0.4,22,"2024-09-13T16:10:44","legacy",,"ARCHIVE","Inherited from parent tree: 2024 sleep analysis, unrelated to the current pipeline."
"Sleep/CC3",2,414731,0.4,22,"2024-09-13T16:11:52","legacy",,"ARCHIVE","Inherited from parent tree: 2024 sleep analysis, unrelated to the current pipeline."
"Sleep/CC1",2,413088,0.39,22,"2024-09-13T16:08:35","legacy",,"ARCHIVE","Inherited from parent tree: 2024 sleep analysis, unrelated to the current pipeline."
"Sleep/CC4",2,412564,0.39,22,"2024-09-13T16:12:52","legacy",,"ARCHIVE","Inherited from parent tree: 2024 sleep analysis, unrelated to the current pipeline."
"statistics/Integrated_robustness",2,175514,0.17,12,"2026-05-04T15:52:35","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"analysis_ready/18b_raw_movement_broad_phase_stats",2,124592,0.12,8,"2026-05-19T16:33:25","legacy",0,"ARCHIVE","No active reader. Superseded by Stage 03."
"lme_sis_activity/logs",2,91614,0.09,67,"2026-04-27T15:12:36","legacy",,"ARCHIVE","Inherited from parent tree: Legacy LME activity outputs."
".old/PositionData",2,60452,0.06,1,"2022-12-15T18:42:51","legacy",,"ARCHIVE","Inherited from parent tree: Explicitly superseded tree."
"analysis_ready/proteomics",2,31357,0.03,3,"2026-05-18T16:12:01","canonical",5,"KEEP","Stage 15 proteomic module score inputs."
"cookiehab/qc",2,19117,0.02,4,"2026-06-30T15:11:51","canonical",,"KEEP","Inherited from parent tree: Separate cookiehab experiment; active via run_cookiehab_preprocessing_and_metrics.R."
"statistics/correlation_proteomics",2,16622,0.02,2,"2026-04-30T17:52:13","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"statistics/artifacts",2,2148,0,2,"2026-05-04T15:52:32","legacy",,"ARCHIVE","Inherited from parent tree: Pre-pipeline statistical outputs from the archived LME workflow."
"MMMSociability/logs",2,68,0,1,"2026-01-06T12:58:19","canonical",,"KEEP","Inherited from parent tree: Local data directory - NOT the repository name. Contains raw_data (irreplaceable), preprocessed_data (Stage 01 input) and historical outputs."
