"analysis_id","manuscript_role","figure_or_supplement","panel","claim","source_stage","source_script","source_artifact","population","temporal_scope","primary_resolution","sensitivity_resolution","model","contrast_or_endpoint","multiplicity_family","effect_size","primary_secondary_exploratory","prospective_or_descriptive","res_sus_outcome_derived","current_status","remaining_caveat","publication_ready","code_git_sha","notes"
"S09_ASSOC_MOVEMENT_MEAN","PRIMARY","Main Figure 1","primary_feature_associations","Mean movement during the first active 12 h after the first cage change is negatively associated with later CombZ.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_movement_entropyacf1_associations.csv","All animals with a resolvable first-night window and a CombZ endpoint (n=111)","First Active phase block after first cage change; fixed clock window 18:30-06:30, 12 h","10min","5min (declared, not exported as canonical)","Spearman rank correlation with bootstrap CI","Movement_mean vs CombZ","Three canonical primary feature associations (BH)","rho = -0.3902639; 95pct CI [-0.5474, -0.2092]; p_raw = 2.293e-05; q = 6.878e-05","primary","prospective","yes - Group is endpoint-derived from CombZ and is excluded from all canonical primary models","FDR-supported; bootstrap CI excludes zero","Association, not causation. CombZ is a downstream composite; RES/SUS labels derive from it.","yes","07a62146adf66afc0614926a2bb9349f46ee5eea","Stage 16 validation check canonical_feature_registry PASS: exactly three canonical features in required order."
"S09_ASSOC_MOVEMENT_RMSSD","PRIMARY","Main Figure 1","primary_feature_associations","Movement RMSSD over the same window is negatively associated with later CombZ.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_movement_entropyacf1_associations.csv","n=111","First active 12 h after first cage change","10min","5min (declared)","Spearman rank correlation with bootstrap CI","Movement_rmssd vs CombZ","Three canonical primary feature associations (BH)","rho = -0.2255265; 95pct CI [-0.4066, -0.0224]; p_raw = 0.017316; q = 0.025975","primary","prospective","yes","FDR-supported; bootstrap CI excludes zero","Supporting association only; not demonstrated as an independent predictive contributor.","yes","07a62146adf66afc0614926a2bb9349f46ee5eea","Must not be described as an independent predictor."
"S09_ASSOC_ENTROPY_ACF1","PRIMARY","Main Figure 1","primary_feature_associations","Entropy persistence (ACF1) over the same window is associated with later CombZ.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_movement_entropyacf1_associations.csv","n=111","First active 12 h after first cage change","10min","5min (declared)","Spearman rank correlation with bootstrap CI","Entropy_acf1 vs CombZ","Three canonical primary feature associations (BH)","rho = -0.1747104; 95pct CI [-0.3510, 0.0168]; p_raw = 0.066656; q = 0.066656","primary","prospective","yes","NOT BH-supported; bootstrap CI includes zero","Must be reported with the qualified wording. Any claim that Entropy_acf1 is significant is false.","yes as a qualified negative/inconclusive result; NOT as a positive finding","07a62146adf66afc0614926a2bb9349f46ee5eea","Stage 16 validation check entropy_wording PASS enforces the required qualified wording."
"S09_PRED_MOVEMENT_MEAN","PRIMARY","Main Figure 1","primary_prediction_cv / heldout_prediction","A fixed a priori behaviour-only model using mean movement predicts later CombZ out of sample.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_prediction_performance.csv; primary_prediction_permutation_test.csv; primary_prediction_predictions.csv","n=111","First active 12 h after first cage change","10min","UNRESOLVED - Stage 16 records resolution sensitivity as unavailable for canonical export; the legacy 5-min output is deliberately not promoted","Fixed a priori behaviour-only model registry; LOAO and repeated grouped 5-fold CV","CombZ ~ Movement_mean","Model-specific full-refit outcome permutation","LOAO out-of-sample R2 = 0.1593946 vs training-fold mean; repeated 5-fold CV mean R2 = 0.1558227 [0.1159, 0.1790]; permutation p = 1/1001","primary","prospective","yes - Group excluded from the model","Headline prospective prediction; permutation-supported","Internal validation only, not external validation. Prospective association/prediction, not causal inference.","yes","07a62146adf66afc0614926a2bb9349f46ee5eea","Stage 16 checks movement_mean_headline PASS, permutation_display PASS (exact 1/1001 retained), group_excluded_primary_prediction PASS."
"S09_PRED_FIXED_3FEATURE","PRIMARY","Main Figure 1","primary_prediction_cv / heldout_prediction","The fixed three-feature behaviour-only model predicts later CombZ out of sample.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_prediction_performance.csv; primary_prediction_model_registry.csv","n=111","First active 12 h after first cage change","10min","UNRESOLVED (as above)","Fixed a priori model: Movement_mean + Movement_rmssd + Entropy_acf1","CombZ ~ Movement_mean + Movement_rmssd + Entropy_acf1","Model-specific full-refit outcome permutation","LOAO out-of-sample R2 = 0.1524453; repeated 5-fold CV mean R2 = 0.1479031 [0.1028, 0.1800]; permutation p = 1/1001","primary","prospective","yes","Permutation-supported but does NOT improve on Movement_mean alone (0.1524 vs 0.1594)","No model-comparison significance test was performed. Must not be described as an improvement over the movement-only model.","yes as a supporting model","07a62146adf66afc0614926a2bb9349f46ee5eea","Sex-adjusted variants exist as sensitivities (R2 0.1524 and 0.1423) with no permutation test specified."
"S09_SEX_INTERACTIONS","SUPPLEMENTARY","Supplementary","feature-by-Sex interaction table","The three canonical feature-CombZ associations do not differ by sex.","09","Analysis/09_early_prediction_model_ladder.R","analysis_ready/pipeline/09_early_prediction/10min/tables/primary_feature_sex_interactions.csv","n=111","First active 12 h after first cage change","10min","n/a","CombZ ~ feature * Sex","Feature-by-Sex interaction coefficient","Three canonical primary feature-by-Sex interaction tests (BH)","All three q = 0.8951970 (Movement_mean -0.0148; Movement_rmssd 0.0519; Entropy_acf1 0.9941)","secondary","prospective","yes","No evidence that any association differed by sex","Absence of evidence, not evidence of absence; the study is not powered for interaction. Sex-stratified estimates are descriptive and are NOT interaction tests.","yes","07a62146adf66afc0614926a2bb9349f46ee5eea",""
"S03_RAW_LONGITUDINAL_MOVEMENT","SECONDARY","Main Figure 1 / Supplementary","longitudinal_movement","Raw movement differs by group across cage changes and light/dark phase.","03","Analysis/03_primary_raw_movement_phase_stats.R","analysis_ready/pipeline/03_movement_phase_stats/10min/tables/raw_movement_animal_level_endpoints.csv and companion stats tables","1221 animal-level movement observations across cage change x phase cells","Full longitudinal record, CC1-CC4, Active and Inactive phases","10min","n/a","Pairwise Wilcoxon (Holm within panel); secondary one-way LM; repeated-measures LMM","CON/RES/SUS pairwise within each cage change x phase cell","Holm within each prespecified three-contrast panel; no global family exported (export_global_family_corrections = FALSE)","214 supplementary result rows: 66 pairwise Wilcoxon, 66 group summaries, 40 descriptive movement-CombZ associations, 22 one-way LM, 14 repeated-measures LMM, 6 sex-stratified","secondary","descriptive","yes - groups are endpoint-derived, so this is phenotype characterization and not independent validation","Canonical and exported; secondary phenotype/group characterization","Descriptive. Does not replace the Stage 09 prospective analysis. No wider global family-wise correction is claimed.","yes as secondary characterization","07a62146adf66afc0614926a2bb9349f46ee5eea","Stage 16 movement_source_availability PASS (1221 observations)."
"FIRSTNIGHT_5DOMAIN_PANEL","SECONDARY","Main Figure / Supplementary","first-night five-domain heatmap","Multiscale behavioural domains during the first night after the first cage change differ by group within sex.","14","Functions/first_night_domain_driver.R via Analysis/14_systems_neuroscience_summary_dashboard.R","analysis_ready/12_systems_neuroscience_summary/5min_based/first_night/10min_based/first_night_group_contrasts.csv","n=111 animals; 50 with a complete 72-slot window","First Active phase block after first cage change; fixed clock window 18:30-06:30, 12 h; expected 72 slots","10min (chosen to match canonical Stage 09, which owns the first-12-h question)","5min (produced by the same driver; Stage 14 global backbone stays 5min)","DomainScore ~ Group * Sex (stats::lm + emmeans), t-based 95pct CI on residual df","RES-CON, SUS-CON, SUS-RES within Sex, across 5 displayed domains","BH with explicitly declared n: FIRST_NIGHT__Female/Male__DISPLAYED_5x3 (n=15 each); interaction family DISPLAYED_5 (n=5); transparency sensitivity ALL_RAW_8x3 (n=24 each)","1 of 30 displayed cells FDR-supported: Female RES-CON, Behavioral volatility / fragmentation, Hedges g = -1.0093, raw p = 0.001341, q = 0.020108","secondary","descriptive","yes","Canonical; 1 of 30 cells FDR-supported","Only 50 of 111 animals have a complete window. Single surviving cell; do not over-read the panel as a multi-domain signature.","yes as a characterization panel, reported with the single FDR-supported cell stated as such","07a62146adf66afc0614926a2bb9349f46ee5eea","Five displayed domains: volatility/fragmentation, flexibility/predictability, social spatial organization, active-phase adaptation/exploration, psychomotor activation. Three additional raw candidates are audit-only and never displayed. Phase rule is exact membership, not substring matching."
"HMM_ACTIVE_LONGITUDINAL_PERSISTENCE","SUPPLEMENTARY_CONDITIONAL","Supplementary","active-phase HMM persistence","Active-phase latent-state persistence is reduced in SUS relative to CON across the longitudinal record.","08/14","Analysis/08_hmm_behavioral_states_optional.R; Testing/audits/audit_step6_longitudinal_gapaware_robustness.R; Testing/audits/audit_hmm_cross_optimum_gapaware.R","analysis_ready/12_systems_neuroscience_summary/5min_based/audit_hmm_state_architecture/step6_longitudinal_gapaware_contrasts.csv; hmm_cross_optimum_gapaware_claim_verdicts.csv","n=111 (cell sizes 12-25 per contrast)","Longitudinal, Active phase, gap-aware sequence segmentation","10min","5min","Mixed model with animal random effect; animal-level Hedges g reported alongside","SUS-CON and SUS-RES on mean_dwell_minutes, self_transition_probability, state_switch_rate, transition_entropy","Not a declared BH family; robustness assessed by sign stability across 5 distinct gap-aware optima","SUS-CON sign-stable across all 5 optima: mean_dwell 0.617-0.687 (5/5 nominally sig), self_transition 0.464-0.558 (4/5), state_switch -0.558 to -0.464 (4/5), transition_entropy -0.654 to -0.559 (5/5)","exploratory","descriptive","yes","Cross-optimum robust for the SUS-CON active persistence family","Conditional on stating the HMM identifiability caveats. logLik spans 69078-414114 across seeds at 5min, i.e. multiple distinct local optima; several emission SDs sit at the 0.05 floor. Persistence metrics are mutually algebraically related, so these are not four independent findings.","conditional - only with the identifiability caveat stated","07a62146adf66afc0614926a2bb9349f46ee5eea",""
"HMM_INACTIVE_PHENOTYPE","NOT_PROMOTED","none","rest_state_architecture / active_inactive_systems (inactive rows)","Inactive-phase latent-state architecture differs by group (rest/quiescence interpretation).","08/14","Analysis/08_hmm_behavioral_states_optional.R; Testing/audits/audit_inactive_phase_qc_redesign.R","analysis_ready/12_systems_neuroscience_summary/5min_based/audit_hmm_state_architecture/hmm_cross_optimum_gapaware_claim_verdicts.csv; audit_inactive_phase_qc/inactive_qc_proposed_specification.csv","n=111","Longitudinal, Inactive phase","10min","5min","Same as the active family","RES-CON and SUS-CON on the inactive persistence family","Not declared; sign stability assessed across 5 optima","All 10 inactive contrasts are sign-stable and nominally significant across all 5 optima (e.g. mean_dwell SUS-CON -1.092 to -0.979)","exploratory","descriptive","yes","NOT PROMOTED pending measurement validity - statistically robust but not interpretable as biology","Inactive-phase observed_fraction is confounded with genuine rest: median 0.149 vs 1.000 in Active, 95.7pct of inactive epochs below 0.50, and inactive domains correlate with mean movement at Spearman rho 0.64-0.87. hard_dropout_signature cannot distinguish chip loss from rest. The phase-aware inactive-QC redesign is SPECIFIED, NOT IMPLEMENTED; chip_loss_qc_mode remains annotate_only.","no","07a62146adf66afc0614926a2bb9349f46ee5eea","DECISION REQUIRED: whether to implement the proposed A/B/C relative-read-density classification in production before submission."
"HMM_OCCUPANCY_ENTROPY","EXCLUDED","none","occupancy entropy","Spatial/state occupancy entropy distinguishes groups (occupancy architecture phenotype).","08/14","Testing/audits/audit_hmm_cross_optimum_gapaware.R","analysis_ready/12_systems_neuroscience_summary/5min_based/audit_hmm_state_architecture/hmm_cross_optimum_gapaware_claim_verdicts.csv","n=111","Longitudinal, Active phase","10min","5min","As the persistence family","Active occupancy_entropy SUS-RES","n/a","Estimate ranges -0.281 to +0.265 across 5 optima; all_same_sign = FALSE; 0 of 5 nominally significant","exploratory","descriptive","yes","EXCLUDED - the audit verdict is literally: NOT robust: sign flips across optima; do not report as a finding","Any claim that occupancy architecture is a stable finding is unsupported. Note the Active SUS-CON occupancy_entropy contrast IS sign-stable but is not nominally significant at any optimum.","no","07a62146adf66afc0614926a2bb9349f46ee5eea",""
"FIRSTNIGHT_HMM_PERSISTENCE","EXCLUDED","none","first-night dwell / persistence","First-night latent-state dwell time differs by group.","14","Testing/audits/audit_first_night_dwell_shipped_vs_refit.R; Testing/audits/audit_first_night_dwell_partition_stability.R","analysis_ready/12_systems_neuroscience_summary/5min_based/audit_hmm_state_architecture/first_night_domain_heatmap/first_night_dwell_shipped_vs_refit.csv; first_night_dwell_partition_stability_contrasts.csv","109 animals with a first-night dwell value","First active 12 h after first cage change","10min","5min","HMM dwell extracted from the shipped fit, compared against a seed-7 refit","Animal-level dwell agreement; RES-CON/SUS-CON/SUS-RES within Sex","n/a","Shipped vs refit Spearman rho = 0.0154; mean dwell 32.06 vs 16.51 min (1.94x). Contrast estimates and nominal p-values are not stable across seeds.","exploratory","descriptive","yes","EXCLUDED - animal-level first-night dwell is essentially uncorrelated between fits","Any claim that first-night HMM persistence is robust is unsupported. A 12 h window is too short to identify the state model stably. This is distinct from the longitudinal active persistence family, which IS cross-optimum stable.","no","07a62146adf66afc0614926a2bb9349f46ee5eea","This is the single clearest instability in the repository and the strongest reason not to build a first-night latent-state claim."
"S15_BEHAVIOR_PROTEOMICS","EXPLORATORY","Supplementary at most","behaviour-proteomics association","Behavioural latent axes are associated with proteomic module scores.","15","Analysis/15_behavior_proteomics_integration.R","analysis_ready/06_behavioral_dynamics/proteomics_mnn_primary/tables/all_curated_behavior_proteomics_models.csv; behavior_proteomics_id_crosswalk.csv","Male neuron/neuropil subset only; n per model ranges 0-9","Behavioural features aggregated to animal level; proteomics at terminal timepoint","10min behavioural source (canonical Stage 09 migration)","flagged-replicates-removed sensitivity subset","Spearman correlation between behavioural and proteomic latent axes","40 curated behaviour-axis x proteomic-axis pairs","BH within the curated model set (spearman_fdr)","0 of 40 models reach FDR < 0.05; all 40 are labelled ClaimType=associative, EvidenceUse=exploratory_effect_size_small_n, StableForMainText=FALSE","exploratory","descriptive","yes","EXPLORATORY - no result is main-text stable; n is too small","n = 0-9 per model. The script itself marks every model StableForMainText = FALSE. Keep separate from the behavioural source-data workbook.","no","07a62146adf66afc0614926a2bb9349f46ee5eea","Stage 15 was migrated to the canonical Stage 09 10-min source and canonical identity, with an explicit validated ID crosswalk."
"S16_MANUSCRIPT_PACKAGE","INFRASTRUCTURE","Source Data","Behavioral_Source_Data.xlsx and CSV companions","The manuscript source-data package faithfully reproduces the canonical upstream results without refitting.","16","Analysis/16_manuscript_behavior_report.R","analysis_ready/manuscript/behavior/ (Behavioral_Source_Data.xlsx, primary_results.csv, supplementary_results.csv, animal_level_source_data.csv, prediction_source_data.csv, movement_phase_source_data.csv, provenance.csv, validation.csv, manifest.csv)","n=111 animals; 222 held-out prediction rows; 1221 movement observations","Inherited from upstream stages","10min","n/a","None - export and assembly only","n/a","Inherited from upstream; not recomputed","16 of 16 validation checks PASS","primary infrastructure","n/a","n/a","Canonical; 16/16 validation PASS; 19 of 19 provenance artifacts verified against recorded SHA-256","Resolution and duration sensitivity for the primary model are explicitly recorded as unavailable rather than silently omitted.","yes","07a62146adf66afc0614926a2bb9349f46ee5eea","protected_stage_hash_validation PASS: upstream SHA-256 values matched before and after assembly. stage10_stage14_primary_exclusion PASS: no Stage 10/14 claim is promoted."
