order,panel_id,role,source_stage,source_artifact,default_status
1,outcome_definition,Later endpoint definition,16,animal_level_source_data.csv,core
2,first_active_movement,First perturbation response,14,Fig_first_active_movement_trajectory_by_group_sex.svg,core
3,primary_feature_associations,Fixed prospective feature associations,09,primary_movement_entropyacf1_vs_combz.svg,core
4,primary_prediction_cv,Fixed behavior-only cross-validated prediction,09,behavior_only_repeated_cv_ladder.svg,core
5,heldout_prediction,LOAO predicted versus observed CombZ,16,prediction_source_data.csv,core
6,longitudinal_movement,Conservative longitudinal phenotype characterization,03,Fig18c_cage_change_phase_mean_movement_corrected_stats.svg,core
7,cc1_systems_signature,Early multiscale systems alternative,14,Fig_sis_CC1_first_active_domain_heatmap.svg,optional_after_rerun
8,repeated_adaptation,Repeated adaptation systems alternative,14,Fig_sis_repeated_active_phase_adaptation.svg,blocked_pending_phase_classifier_fix_and_rerun
9,active_inactive_systems,Active/inactive systems alternative,14,Fig_sis_active_inactive_domain_heatmap.svg,blocked_pending_phase_classifier_fix_and_rerun
10,social_spatial_organization,Social reorganization alternative,14,Fig_sis_social_spatial_organization.svg,optional_after_rerun
11,rest_state_architecture,Rest/state architecture alternative,14,Fig_sis_rest_or_state_architecture.svg,blocked_pending_phase_classifier_fix_and_rerun
