"current_path","classification","original_path","destination_applied","in_repo_now","active_consumer","referenced_by","requires_local_data","manuscript_relevant","safe_to_move","notes"
".gitignore","production",".gitignore","KEEP (not moved)",TRUE,"git itself, on every status/add in this working tree.","n/a (consumed by git)","no","indirect","no","12 lines, 2 active rules. EXACT LINES THAT MUST BE UPDATED IF THE SCHEMA FOLDER MOVES: line 12 'manuscript/BehavioralDynamics_schema/rendered/' (the active ignore rule - becomes dead and the moved rendered/ files start showing as untracked), plus the explanatory comments at line 3 '# manuscript/BehavioralDynamics_schema/R/), so the builders are versioned but' and line 10 '# manuscript/BehavioralDynamics_schema/R/ from version control entirely.'. Lines 2, 8 and 11 reference manuscript/Fig1_behavior_candidates/ and need NO change under the proposed plan since that folder stays. The header comment records that these two narrow rules replaced a blanket /manuscript rule which had been hiding tracked source - so do NOT re-broaden this file during restructuring."
"Analysis/_archive/03b_multiscale_metric_validation_notes.md","legacy","Analysis/_archive/03b_multiscale_metric_validation_notes.md","KEEP (not moved)",TRUE,"none","Analysis/_archive/README_archive.md","no","no","no","Development note for metric validation; not an executable stage. Contains no S: data paths. Not churned in this pass."
"Analysis/_archive/04_gamm_movement_proximity_phase_and_early_window.R","legacy","Analysis/_archive/04_gamm_movement_proximity_phase_and_early_window.R","KEEP (not moved)",TRUE,"none - superseded by Analysis/07_gamm_trajectory_features.R","Analysis/14_systems_neuroscience_summary_dashboard.R (comment/provenance mention); Analysis/README_pipeline.md (old-to-new filename map); Analysis/_archive/README_archive.md","yes","no","no","Large exploratory/superseded GAMM/LME layer. Still holds 4 hard-coded S:/Lab_Member data paths, so it cannot be run reproducibly off-site. Provenance only; not churned in this pass."
"Analysis/_archive/08_early_prediction_models.R","legacy","Analysis/_archive/08_early_prediction_models.R","KEEP (not moved)",TRUE,"none - superseded by Analysis/09_early_prediction_model_ladder.R","Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/15_behavior_proteomics_integration.R; Analysis/README_pipeline.md; Analysis/_supporting/13_nonlinear_systems_dynamics.R; Analysis/_archive/README_archive.md; Testing/audit_first_night_domain_scores_v2.R; Testing/audit_first_night_time_anchor.R; Testing/audit_stage09_stale_artifacts.R; Testing/check_behavioral_dynamics_structure.R; Testing/run_behavioral_dynamics_pipeline.R; Testing/run_full_systems_behavior_pipeline.R","yes","no","no","The most-referenced archive file, and it carries a pre-existing STALE-PATH problem worth flagging to the Testing/ audit (not for fixing here): Testing/run_behavioral_dynamics_pipeline.R line 23 and Testing/run_full_systems_behavior_pipeline.R line 5 still list the pre-archive path ""Analysis/08_early_prediction_models.R"", which no longer exists - the file is now at Analysis/_archive/08_early_prediction_models.R. Testing/check_behavioral_dynamics_structure.R line 9 has the same stale path in a comment. It is also the only archive script that sources _pipeline_setup.R. Holds 3 hard-coded S: paths. Provenance only; not churned in this pass."
"Analysis/_supporting/13_nonlinear_systems_dynamics.R","production","Analysis/_supporting/13_nonlinear_systems_dynamics.R","Analysis/_supporting/ (moved out of _archive)",TRUE,"none","Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/README_pipeline.md; Analysis/_archive/README_archive.md","yes","no","no","TYPE B artifact dependency: not source()d anywhere, but active Stages 10 and 14 read its output tree and run_all_analysis.R does not regenerate it. Moved out of _archive so live-dependency code is not described as archived. See docs/ARCHIVE_DEPENDENCY_AUDIT.csv. || Exploratory nonlinear dynamics layer, never part of the staged active pipeline. README_pipeline.md states nonlinear outputs remain exploratory and are not promoted to the primary registry. 1 hard-coded S: path. Not churned in this pass."
"Analysis/_supporting/14_nextgen_behavioral_phenotyping.R","production","Analysis/_supporting/14_nextgen_behavioral_phenotyping.R","Analysis/_supporting/ (moved out of _archive)",TRUE,"none","Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/README_pipeline.md; Analysis/_archive/README_archive.md","yes","no","no","TYPE B artifact dependency: not source()d anywhere, but active Stages 10 and 14 read its output tree and run_all_analysis.R does not regenerate it. Moved out of _archive so live-dependency code is not described as archived. See docs/ARCHIVE_DEPENDENCY_AUDIT.csv. || [VERIFIED-CORRECTION] REFUTES ""active_consumer: none"" (data-artifact + declared-dependency consumers, both in ACTIVE scripts):

1) SOLE PRODUCER. Analysis/_supporting/14_nextgen_behavioral_phenotyping.R:42 `output_dir <- file.path(project_root, ""analysis_ready/14_nextgen_behavioral_phenotyping"", bin_level)` — `git grep -n 'analysis_ready/14_nextgen' -- '*.R'` returns exactly one writer: this archived file. No active script regenerates these outputs.

2) ACTIVE CONSUMER #1 — dashboard reads 5 of its tables and binds them into the feature matrix. Analysis/14_systems_neuroscience_summary_dashboard.R:1290 defines `load_nextgen_selective_features <- function(scale_label = primary_bin_level)`; :1291 `ng_dir <- file.path(project_root, ""analysis_ready/14_nextgen_behavioral_phenotyping"", scale_label, ""tables"")`; :1300-1306 reads multiscale_complexity_features.csv, early_warning_summary_by_animal.csv, behavioral_energy_landscape_summary_by_animal.csv, animal_social_coupling_summary.csv, nextgen_behavioral_phenotype_matrix.csv. It is NOT dead code — it is invoked at :1387 `map_dfr(optional_import_bin_levels, load_nextgen_selective_features)` inside the `optional_long` bind_rows that feeds `optional_wide` (:1389-1394).

3) ACTIVE CONSUMER #2 — prediction ladder harvests its outputs as candidate predictors. Analysis/10_systems_feature_prediction_ladder.R:101 `file.path(base_dir, ""analysis_ready/14_nextgen_behavioral_phenotyping"")` inside `feature_search_dirs` (:91), consumed at :534-536 `feature_search_dirs[dir.exists(feature_search_dirs)] %>% map(~list.files(.x, pattern = ""\\.(csv|tsv|xlsx|xls)$"", recursive = TRUE, ...))` -> :542 `candidate_feature_tables` -> :544 `systems_extra`. So this ""legacy"" script's features can enter an active model.

4) DECLARED REQUIRED SCRIPT. Analysis/14_systems_neuroscience_summary_dashboard.R:3641 lists `""14_nextgen_behavioral_phenotyping.R""` in `sis_dependency_audit$RequiredScript` (tibble opens :3635), tagged BiologicalDomain ""Nonlinear systems organization"" (:3648), with ExpectedPath at :3659. Also enumerated as a required stage at :1935 with expected_output :1957.

5) DEPENDENCY IS LIVE, NOT DORMANT. Artifacts exist on the data root: S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/Behavior/RFID/analysis_ready/14_nextgen_behavioral_phenotyping/5min_based/tables/ contains nextgen_behavioral_phenotype_matrix.csv, multiscale_complexity_features.csv, early_warning_summary_by_animal.csv, behavioral_energy_landscape_summary_by_animal.csv, animal_social_coupling_summary.csv (all 5 files load_nextgen_selective_features requests).

DESTINATION UNCHANGED (KEEP) but for a STRONGER reason than ""not churned in this pass"": the bare filename is hard-coded as a manuscript-facing provenance/dependency string in the active dashboard at :1645 `str_detect(source, ""nextgen|nonlinear"") ~ ""14_nextgen_behavioral_phenotyping.R""`, :1935, and :3641. A rename would desync the dashboard's provenance labels and its own dependency audit. Note also the audit's notes field understates the hard-coding: there are TWO hard-coded absolute paths, not one — :37 `project_root <- ""S:/...""` AND :38 `repo_root <- ""C:/Users/topohl/Documents/GitHub/MMMSociability""`, the latter used at :67-68 to source Functions/behavioral_dynamics_helpers.R and Functions/behavioral_dynamics_stats_helpers.R.

NOT refuted: no active script `source()`s this file (checked `git grep -nE 'source *\(' -- Analysis/14_systems_neuroscience_summary_dashboard.R Analysis/10_systems_feature_prediction_ladder.R` -> only _pipeline_setup.R at :58/:56). The coupling is via data artifacts on S: plus declared filename strings, which is why KEEP remains correct. || Exploratory next-generation phenotyping layer, never part of the staged active pipeline. 1 hard-coded S: path. Not churned in this pass."
"Analysis/_archive/18_raw_movement_publication_trajectory.R","legacy","Analysis/_archive/18_raw_movement_publication_trajectory.R","KEEP (not moved)",TRUE,"none - superseded by Analysis/03_primary_raw_movement_phase_stats.R","Analysis/README_pipeline.md; Analysis/_archive/README_archive.md","yes","no","no","Superseded raw-movement trajectory script; README_pipeline.md explicitly states ""The older 18_raw_movement_publication_trajectory.R and 18b_raw_movement_broad_phase_stats.R are archived."" 3 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/18b_raw_movement_broad_phase_stats.R","legacy","Analysis/_archive/18b_raw_movement_broad_phase_stats.R","KEEP (not moved)",TRUE,"none - superseded by Analysis/03_primary_raw_movement_phase_stats.R","Analysis/README_pipeline.md; Analysis/_archive/README_archive.md","yes","no","no","Superseded by the corrected raw-movement statistics in Stage 03 (renamed from 18c_raw_movement_broad_phase_stats_corrected.R per the old-to-new map). 1 hard-coded S: path. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.0.r","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.0.r","KEEP (not moved)",TRUE,"none","Analysis/_archive/03b_multiscale_metric_validation_notes.md; Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.1.r","yes","no","no","Versioned deprecated script. Filename contains a SPACE (""...shannon v.1.0.0.r"") and a lowercase .r extension - any scripted move or reference-rewrite must quote it. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.1.r","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.1.r","KEEP (not moved)",TRUE,"none","Analysis/_archive/03b_multiscale_metric_validation_notes.md","yes","no","no","Versioned deprecated script; space in filename, lowercase .r extension. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon.R","KEEP (not moved)",TRUE,"none","none","yes","no","no","Deprecated Shannon-entropy variant of the AnimalPos analysis. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing.R","KEEP (not moved)",TRUE,"none","Analysis/_archive/03b_multiscale_metric_validation_notes.md","yes","no","no","Deprecated pre-pipeline AnimalPos analysis script. 2 hard-coded S: paths. Covered by the README_archive.md wildcard row ""legacy_deprecated/E9_SIS_AnimalPos*"". Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-comparing.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-comparing.R","KEEP (not moved)",TRUE,"none","none","yes","no","no","Deprecated AnimalPos comparison script. 1 hard-coded S: path. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-comparing2.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-comparing2.R","KEEP (not moved)",TRUE,"none","none","yes","no","no","Deprecated AnimalPos comparison script, second variant. 1 hard-coded S: path. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-lme v.2.0.0.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-lme v.2.0.0.R","KEEP (not moved)",TRUE,"none","Analysis/_archive/03b_multiscale_metric_validation_notes.md; Testing/E9_SIS_AnimalPos-analyzing v.2.0.0.R","yes","no","no","Versioned deprecated LME script; space in filename. 1 hard-coded S: path. Note a near-duplicate legacy file also exists outside Analysis/ at Testing/E9_SIS_AnimalPos-analyzing v.2.0.0.R - that one is in the Testing/ audit's scope, not this pass. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-lme.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-lme.R","KEEP (not moved)",TRUE,"none","none","yes","no","no","Deprecated LME script. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-plots_and_statistics.R","legacy","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-plots_and_statistics.R","KEEP (not moved)",TRUE,"none","none","yes","no","no","Deprecated plotting/statistics script. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/lme v.3.1.1.r","legacy","Analysis/_archive/legacy_deprecated/lme v.3.1.1.r","KEEP (not moved)",TRUE,"none","none","yes","no","no","Versioned deprecated LME script; space in filename, lowercase .r. Successor copies live outside Analysis/ (Testing/lme v.3.1.2.r) and are out of scope for this pass. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/sociability_lme v.1.0.0.r","legacy","Analysis/_archive/legacy_deprecated/sociability_lme v.1.0.0.r","KEEP (not moved)",TRUE,"none","Analysis/_archive/README_archive.md","yes","no","no","Versioned deprecated sociability LME script; space in filename, lowercase .r. 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/legacy_deprecated/sociability_lme v.1.0.1.r","legacy","Analysis/_archive/legacy_deprecated/sociability_lme v.1.0.1.r","KEEP (not moved)",TRUE,"none","Analysis/_archive/03b_multiscale_metric_validation_notes.md; Analysis/_archive/README_archive.md","yes","no","no","Versioned deprecated sociability LME script; space in filename, lowercase .r. A later copy exists at Testing/sociability_lme v.1.0.2.r (out of scope here). 2 hard-coded S: paths. Not churned in this pass."
"Analysis/_archive/README_archive.md","legacy","Analysis/_archive/README_archive.md","KEEP (not moved)",TRUE,"none","none","no","no","no","Index of the archive with a per-file reason column, plus the explicit statement ""Archived scripts are not part of run_all_analysis.R. They may contain older hard-coded paths or output conventions and should be used only for provenance checks."" Confirms the archive is provenance-only. Not churned in this pass."
"Analysis/_pipeline_setup.R","production","Analysis/_pipeline_setup.R","KEEP (not moved)",TRUE,"Sourced by every active stage 00-16 (Analysis/00_qc_tracking_integrity.R ... Analysis/16_manuscript_behavior_report.R), Analysis/run_all_analysis.R, Analysis/run_cookiehab_preprocessing_and_metrics.R, Formatting/01_preprocess_cookiehab_animalpos.R, Functions/duration_normalization_helpers.R, Functions/hmm_stage14_helpers.R, ~50 Testing/ scripts, and manuscript/Fig1_behavior_candidates/build_fig1_candidates.R","Analysis/00_qc_tracking_integrity.R; Analysis/01_build_multiscale_behavior_metrics.R; Analysis/02_build_dyadic_rfid_contacts.R; Analysis/03_primary_raw_movement_phase_stats.R; Analysis/04_temporal_instability.R; Analysis/05_behavioral_state_space.R; Analysis/06_dynamic_social_networks.R; Analysis/07_gamm_trajectory_features.R; Analysis/08_hmm_behavioral_states_optional.R; Analysis/09_early_prediction_model_ladder.R; Analysis/10_systems_feature_prediction_ladder.R; Analysis/11_behavioral_adaptation_kinetics.R; Analysis/12_sleep_like_quiescence_metrics.R; Analysis/13_ethological_phase_organization.R; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/15_behavior_proteomics_integration.R; Analysis/16_manuscript_behavior_report.R; Analysis/run_all_analysis.R; Analysis/run_cookiehab_preprocessing_and_metrics.R; Analysis/_archive/08_early_prediction_models.R; Formatting/01_preprocess_cookiehab_animalpos.R; Functions/duration_normalization_helpers.R; Functions/hmm_stage14_helpers.R; README.md; ~50 Testing/*.R audits and tests; manuscript/Fig1_behavior_candidates/build_fig1_candidates.R","no","indirect","no","Highest-fanout file in the repo (75 in-repo path references to the literal string ""Analysis/_pipeline_setup.R""). Defines find_mmm_repo_root() (walks up for Functions/behavioral_dynamics_helpers.R + Analysis/), MMM_REPO_ROOT, MMM_ANALYSIS_DIR, source_mmm_helper(), the behavior_stage_dir()/behavior_stage_tables()/behavior_stage_figures()/behavior_stage_audit()/behavior_manuscript_dir() canonical-path family, resolve_behavior_artifact(), and the Stage 14 upstream registry (.resolve_stage_artifact_across_resolutions, resolve_stage04_temporal_instability_artifact, resolve_stage09_early_prediction_artifact). Reads no data itself. Must not move: dozens of consumers hard-code the literal relative path ""Analysis/_pipeline_setup.R""."
"Analysis/00_qc_tracking_integrity.R","production","Analysis/00_qc_tracking_integrity.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""00"", unconditional (optional_flag = NA)","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; docs/analysis_strategy_for_manuscript.md","yes","yes","yes_with_reference_updates","Non-destructive RFID/tracking integrity QC. Reads the S: root: line 46 ""S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/Behavior/RFID"". Resolves setup via the standard three-candidate vector (getwd()/Analysis/_pipeline_setup.R, getwd()/_pipeline_setup.R, dirname(ofile)/_pipeline_setup.R) at lines 103-105, so it is depth-robust when invoked from the repo root. Stage 16 consumes its QC tables."
"Analysis/01_build_multiscale_behavior_metrics.R","production","Analysis/01_build_multiscale_behavior_metrics.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""01"", unconditional; also sourced directly by Analysis/run_cookiehab_preprocessing_and_metrics.R","Analysis/run_all_analysis.R; Analysis/run_cookiehab_preprocessing_and_metrics.R; Analysis/README_pipeline.md; Analysis/04_temporal_instability.R; Analysis/05_behavioral_state_space.R; Analysis/07_gamm_trajectory_features.R; Analysis/08_hmm_behavioral_states_optional.R; Analysis/09_early_prediction_model_ladder.R; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; Analysis/19_spatial_occupancy_maps.R; Analysis/_archive/03b_multiscale_metric_validation_notes.md; Analysis/_archive/08_early_prediction_models.R; Analysis/_supporting/13_nonlinear_systems_dynamics.R; Analysis/_supporting/14_nextgen_behavioral_phenotyping.R; Functions/animal_identity_invariants_helpers.R; README.md; Testing/audit_first_night_candidate_set_scores.R; Testing/audit_first_night_domain_scores_v2.R; Testing/repair_existing_metrics_identity_utility.R; Testing/test_animalpos_preprocessing_helpers.R; Testing/validate_cross_scale_animal_identity.R; docs/analysis_strategy_for_manuscript.md; manuscript/BehavioralDynamics_schema/R/20_supplementary_provenance_schema.R; manuscript/BehavioralDynamics_schema/R/30_write_number_manifest.R; manuscript/BehavioralDynamics_schema/data/figure_number_manifest.csv","yes","yes","yes_with_reference_updates","The canonical upstream of the whole pipeline: writes all_behavior_metrics.csv at multiple bin levels and the canonical Stage 01 animal roster that Stage 08 inherits Group/Sex from. Reads/writes the S: root at lines 68-69 and reads S:/.../Analysis/sus_animals.csv and con_animals.csv (lines 79-80). Note line 68 contains "".../RFID/MMMSociability/preprocessed_data"" - that ""MMMSociability"" is a DATA-path segment, not a repo-identity reference, and must never be renamed. Also carries a dataset_id == ""cookiehab"" branch (add_cookiehab_bin_annotations, export_cookiehab_primary_window_metrics) used by the cookiehab runner. Cited directly in manuscript/BehavioralDynamics_schema provenance and figure_number_manifest.csv."
